Rank,Movie Title,Year of Release,Run Time (minutes),Rating,Star Rating,Metascore,Number of Votes,Gross Revenue in millions (USD)
100,The Hunt,2012,115,R,8.3,77,349136,0.69
101,Eternal Sunshine of the Spotless Mind,2004,108,R,8.3,89,1045599,34.4
102,Scarface,1983,170,18+,8.3,65,883656,45.6
103,A Clockwork Orange,1971,136,R,8.3,77,859132,6.21
104,Full Metal Jacket,1987,116,R,8.3,78,769519,46.36
105,Reservoir Dogs,1992,99,R,8.3,81,1058514,2.83
106,Toy Story,1995,81,G,8.3,96,1036327,191.8
107,Once Upon a Time in America,1984,229,R,8.3,75,366362,5.32
108,Amélie,2001,122,R,8.3,69,777680,33.23
109,Hamilton,2020,160,PG-13,8.3,89,105728,
110,Up,2009,96,PG,8.3,88,1089174,293.0
111,Star Wars: Episode VI - Return of the Jedi,1983,131,PG,8.3,58,1092499,309.13
112,Incendies,2010,131,R,8.3,80,188801,6.86
113,Toy Story 3,2010,103,G,8.3,92,868847,415.0
114,Princess Mononoke,1997,134,PG-13,8.3,76,415176,2.38
115,Lawrence of Arabia,1962,218,Approved,8.3,100,305429,44.82
116,The Apartment,1960,125,Approved,8.3,94,189903,18.6
117,Citizen Kane,1941,119,PG,8.3,100,455874,1.59
118,Vertigo,1958,128,PG,8.3,100,416229,3.2
119,Singin' in the Rain,1952,103,G,8.3,99,252970,8.82
120,Metropolis,1927,153,Not Rated,8.3,98,180633,1.24
121,To Kill a Mockingbird,1962,129,Approved,8.3,88,325977,
122,North by Northwest,1959,136,Approved,8.3,98,338498,13.28
123,Vikram,2022,175,,8.3,,66296,
124,The Sting,1973,129,PG,8.3,83,272679,159.6
125,M,1931,99,Passed,8.3,,164058,0.03
126,A Separation,2011,123,PG-13,8.3,95,252624,7.1
127,Ikiru,1952,143,Not Rated,8.3,92,83846,0.06
128,Double Indemnity,1944,107,Passed,8.3,95,163105,5.72
129,Judgment at Nuremberg,1961,179,Approved,8.3,60,81609,
130,Like Stars on Earth,2007,165,PG,8.3,,201335,1.22
131,Dangal,2016,161,Not Rated,8.3,,201401,12.39
132,Bicycle Thieves,1948,89,Not Rated,8.3,,170184,0.33
133,K.G.F: Chapter 2,2022,168,Not Rated,8.3,,142478,6.6
134,Chhichhore,2019,143,Not Rated,8.3,,59701,2.0
135,Kantara,2022,148,Not Rated,8.3,,97989,
136,Ayla: The Daughter of War,2017,125,,8.3,,42359,
137,Shershaah,2021,135,TV-14,8.3,,126399,
138,Raatchasan,2018,170,Not Rated,8.3,,48103,
139,Drishyam,2013,160,Not Rated,8.3,,43030,
140,The Wolf of Wall Street,2013,180,R,8.2,75,1505614,116.9
141,Jurassic Park,1993,127,PG-13,8.2,68,1033498,402.45
142,Batman Begins,2005,140,PG-13,8.2,70,1533052,206.85
143,No Country for Old Men,2007,122,R,8.2,92,1021652,74.28
144,Spider-Man: No Way Home,2021,148,PG-13,8.2,71,829700,804.75
145,Taxi Driver,1976,114,R,8.2,94,884094,28.26
146,Shutter Island,2010,138,R,8.2,63,1393848,128.01
147,There Will Be Blood,2007,158,R,8.2,93,617960,40.22
148,Indiana Jones and the Last Crusade,1989,127,PG-13,8.2,65,791061,197.17
