Rank,Movie Title,Year of Release,Run Time (minutes),Rating,Star Rating,Metascore,Number of Votes,Gross Revenue in millions (USD)
429,Song of the Sea,2014,93,PG,8.0,85,61499,0.86
430,My Sassy Girl,2001,137,Not Rated,8.0,,49682,
431,Elite Squad,2007,115,R,8.0,33,107775,0.01
432,The Diving Bell and the Butterfly,2007,112,PG-13,8.0,92,109390,5.99
433,The Sea Inside,2004,126,PG-13,8.0,74,83984,2.09
434,Baahubali: The Beginning,2015,159,Not Rated,8.0,,131937,6.74
435,Brief Encounter,1945,86,Not Rated,8.0,92,42673,
436,Stalag 17,1953,120,Not Rated,8.0,84,57524,
437,Nobody Knows,2004,141,PG-13,8.0,88,29995,0.68
438,Dilwale Dulhania Le Jayenge,1995,181,Not Rated,8.0,,74206,
439,Persepolis,2007,96,PG-13,8.0,90,98046,4.45
440,Sweet Smell of Success,1957,96,Approved,8.0,100,34494,
441,"Spring, Summer, Fall, Winter... and Spring",2003,103,R,8.0,85,85396,2.38
442,Sleuth,1972,138,PG,8.0,,49235,4.08
443,"Quo Vadis, Aida?",2020,101,,8.0,97,36676,
444,Kind Hearts and Coronets,1949,106,Not Rated,8.0,,38844,
445,"Black Cat, White Cat",1998,127,R,8.0,73,55483,0.35
446,Ivan's Childhood,1962,95,Not Rated,8.0,,38702,
447,Cries & Whispers,1972,91,R,8.0,,35962,1.74
448,"Goodbye, Children",1987,104,PG,8.0,88,35377,4.54
449,La strada,1954,108,Not Rated,8.0,,65404,
450,The Wild Pear Tree,2018,188,,8.0,86,26241,0.03
451,The Exterminating Angel,1962,95,Not Rated,8.0,,34616,
452,The Shop Around the Corner,1940,99,Not Rated,8.0,96,35971,0.2
453,Departures,2008,130,PG-13,8.0,68,53975,1.5
454,Sanjuro,1962,96,Not Rated,8.0,,40022,
455,Haider,2014,160,Not Rated,8.0,,56517,0.9
456,Elite Squad 2: The Enemy Within,2010,115,Not Rated,8.0,71,85351,0.1
457,"Rome, Open City",1945,103,Not Rated,8.0,,28085,
458,G.O.R.A.,2004,127,,8.0,,65246,
459,Central Station,1998,110,R,8.0,80,41315,5.6
460,Tae Guk Gi: The Brotherhood of War,2004,140,R,8.0,64,40612,1.11
461,Andaz Apna Apna,1994,160,Not Rated,8.0,,54523,
462,M.S. Dhoni: The Untold Story,2016,184,Not Rated,8.0,,64768,1.78
463,Winter Light,1963,81,Not Rated,8.0,,26319,
464,"Carry On, Munna Bhai",2006,144,Not Rated,8.0,,48589,2.22
465,Nefes: Vatan Sagolsun,2009,128,,8.0,,34640,
466,Vizontele,2001,110,,8.0,,37983,
467,Special 26,2013,144,Not Rated,8.0,,57960,1.08
468,Guardians of the Galaxy Vol. 3,2023,150,PG-13,7.9,64,313351,
469,Mission: Impossible - Dead Reckoning Part One,2023,163,PG-13,7.9,81,137423,
470,Arrival,2016,116,PG-13,7.9,81,735352,100.55
471,Titanic,1997,194,PG-13,7.9,75,1245982,659.33
472,Children of Men,2006,109,R,7.9,84,517051,35.55
473,The Blues Brothers,1980,133,R,7.9,60,208337,57.23
474,Knives Out,2019,130,PG-13,7.9,82,739970,165.36
475,Almost Famous,2000,122,R,7.9,90,286841,32.53
476,Zack Snyder's Justice League,2021,242,R,7.9,54,423589,
477,The Nightmare Before Christmas,1993,76,PG,7.9,82,356492,75.08
478,Edge of Tomorrow,2014,113,PG-13,7.9,71,712336,100.21
479,Avatar,2009,162,PG-13,7.9,83,1360242,760.51
480,Harry Potter and the Prisoner of Azkaban,2004,142,PG,7.9,82,666370,249.36
481,Mulholland Drive,2001,147,R,7.9,86,372378,7.22
482,True Romance,1993,119,R,7.9,59,236250,12.28
483,Boogie Nights,1997,155,R,7.9,86,275707,26.4
484,Star Trek,2009,127,PG-13,7.9,82,614016,257.73
485,Iron Man,2008,126,PG-13,7.9,79,1097203,318.41
486,Bohemian Rhapsody,2018,134,PG-13,7.9,49,567539,216.43
487,Shrek,2001,90,PG,7.9,84,710388,267.67
488,The Perks of Being a Wallflower,2012,103,PG-13,7.9,67,534204,17.74
489,Jojo Rabbit,2019,108,PG-13,7.9,58,420727,33.37
490,Thor: Ragnarok,2017,130,PG-13,7.9,74,791298,315.06
491,Fantastic Mr. Fox,2009,87,PG,7.9,83,255794,21.0
492,E.T.,1982,115,PG,7.9,92,426040,435.11
493,The Big Sleep,1946,114,Passed,7.9,86,88729,6.54
494,Shaun of the Dead,2004,99,R,7.9,76,578626,13.54
495,Mystic River,2003,138,R,7.9,84,472897,90.14
496,In Bruges,2008,107,R,7.9,67,450277,7.76
497,Edward Scissorhands,1990,105,PG-13,7.9,74,509102,56.36
498,District 9,2009,112,R,7.9,81,702071,115.65
499,Dallas Buyers Club,2013,117,R,7.9,77,506907,27.3
500,Wonder,2017,113,PG,7.9,66,173037,132.42
501,Marriage Story,2019,137,R,7.9,94,331879,2.0
502,Before Midnight,2013,109,R,7.9,94,167273,8.11
503,This Is Spinal Tap,1984,82,R,7.9,92,144071,4.74
504,X-Men: Days of Future Past,2014,132,PG-13,7.9,75,731906,233.92
505,Strangers on a Train,1951,101,PG,7.9,88,138261,7.63
506,Spartacus,1960,197,PG-13,7.9,87,139991,30.0
507,In the Heat of the Night,1967,110,Approved,7.9,76,80939,24.38
508,Brazil,1985,132,R,7.9,84,207144,9.93
509,Life of Pi,2012,127,PG,7.9,79,652392,124.99
510,Boyhood,2014,165,R,7.9,100,362577,25.38
511,Toy Story 2,1999,92,G,7.9,88,604080,245.85
512,Nosferatu,1922,94,Not Rated,7.9,,102073,
513,The Ten Commandments,1956,220,G,7.9,,75031,93.74
514,A Fistful of Dollars,1964,99,R,7.9,65,226406,14.5
515,Carlito's Way,1993,144,R,7.9,66,227056,36.95
516,Let the Right One In,2008,114,R,7.9,82,222826,2.12
517,Ghost in the Shell,1995,83,TV-MA,7.9,76,151075,0.52
518,"Crouching Tiger, Hidden Dragon",2000,120,PG-13,7.9,94,277489,128.08
519,The Wrestler,2008,109,R,7.9,80,315186,26.24
520,Being There,1979,130,PG,7.9,83,75730,30.18
521,The Wild Bunch,1969,135,R,7.9,98,88451,12.06
522,Bound by Honor,1993,180,R,7.9,47,33102,4.5
523,Charade,1963,113,Passed,7.9,83,82490,13.47
524,Doctor Zhivago,1965,197,PG-13,7.9,69,80257,111.72
525,A Streetcar Named Desire,1951,122,PG,7.9,97,112194,8.0
526,All the President's Men,1976,138,PG,7.9,84,122296,70.6
527,A Christmas Story,1983,93,PG,7.9,77,161682,20.61
528,Sing Street,2016,106,PG-13,7.9,79,98364,3.24
529,The Killing,1956,84,Approved,7.9,91,94414,
530,Notorious,1946,102,Not Rated,7.9,100,104823,10.46
531,The Raid 2,2014,150,R,7.9,71,128660,2.63
532,Wings of Desire,1987,128,PG-13,7.9,79,74367,3.33
533,The Artist,2011,100,PG-13,7.9,89,246048,44.67
534,Harold and Maude,1971,91,PG,7.9,62,80276,
535,Shoplifters,2018,121,R,7.9,93,82379,3.31
536,Arsenic and Old Lace,1944,118,Not Rated,7.9,,73391,
537,Dancer in the Dark,2000,140,R,7.9,63,114138,4.18
538,The Manchurian Candidate,1962,126,PG-13,7.9,94,78013,
539,Short Term 12,2013,96,R,7.9,82,90314,1.01
540,Hero,2002,120,PG-13,7.9,85,185473,53.71
541,Togo,2019,113,PG,7.9,69,53028,
542,King Kong,1933,100,Passed,7.9,92,88839,10.0
543,Three Colors: Blue,1993,94,R,7.9,87,107510,1.32
544,Rope,1948,80,Approved,7.9,73,149625,
545,Once Were Warriors,1994,102,R,7.9,77,35980,2.2
546,Patton,1970,172,GP,7.9,86,106013,61.7
547,The Lion in Winter,1968,134,PG,7.9,,33120,22.28
548,The Leopard,1963,186,PG,7.9,100,27846,
549,Amour,2012,127,PG-13,7.9,95,103803,6.74
550,The Philadelphia Story,1940,112,Not Rated,7.9,96,72189,
551,Laura,1944,88,Passed,7.9,,49657,4.36
552,The Sacrifice,1986,149,PG,7.9,,30076,0.3
553,In a Lonely Place,1950,94,Not Rated,7.9,,33827,
554,Head-On,2004,121,R,7.9,78,56408,
555,3-Iron,2004,88,R,7.9,72,57086,0.24
556,Talk to Her,2002,112,R,7.9,86,115738,9.36
557,Cat on a Hot Tin Roof,1958,108,Not Rated,7.9,84,52168,17.57
558,A Taxi Driver,2017,137,Not Rated,7.9,69,28605,1.53
559,My Name Is Khan,2010,165,PG-13,7.9,50,112270,4.02
560,Harvey,1950,104,Approved,7.9,,57250,
561,The Adventures of Robin Hood,1938,102,PG,7.9,97,53345,3.98
562,The Conformist,1970,113,R,7.9,100,32619,0.54
563,Kal Ho Naa Ho,2003,186,Not Rated,7.9,54,72852,1.79
564,The Thin Man,1934,91,TV-PG,7.9,86,31676,
565,Mildred Pierce,1945,111,Approved,7.9,88,27753,
566,Kagemusha,1980,162,PG,7.9,84,37240,
567,The Big Heat,1953,89,Passed,7.9,,28113,
568,Cléo from 5 to 7,1962,90,Not Rated,7.9,87,25471,
569,In Cold Blood,1967,134,R,7.9,89,28078,
570,Nostalghia,1983,125,Not Rated,7.9,,29031,0.01
571,About Elly,2009,119,TV-PG,7.9,87,55871,0.11
572,The Red Circle,1970,140,Not Rated,7.9,92,27123,0.37
573,I Remember,1973,123,R,7.9,,45645,0.58
574,"4 Months, 3 Weeks and 2 Days",2007,113,Not Rated,7.9,97,62345,1.19
575,No Man's Land,2001,98,R,7.9,84,48198,1.06
576,The Way He Looks,2014,96,Not Rated,7.9,71,26992,0.1
577,Miracle on 34th Street,1947,96,Not Rated,7.9,88,51521,2.65
578,Hiroshima Mon Amour,1959,90,Not Rated,7.9,,34652,0.09
579,Gully Boy,2019,154,Not Rated,7.9,65,42099,5.57
580,Battleship Potemkin,1925,66,Not Rated,7.9,97,60111,0.05
581,The Lost Weekend,1945,101,Passed,7.9,,39119,9.46
582,Nine Queens,2000,114,R,7.9,80,55470,1.22
583,Elevator to the Gallows,1958,91,Not Rated,7.9,94,27625,0.11
584,The Return,2003,110,Not Rated,7.9,82,46673,0.5
585,Through a Glass Darkly,1961,90,Not Rated,7.9,84,26689,
586,Dev.D,2009,144,Not Rated,7.9,,31686,0.01
587,Jab We Met,2007,138,Not Rated,7.9,,56482,0.41
588,Sullivan's Travels,1941,90,Passed,7.9,,27856,
589,Beauty and the Beast,1946,93,Not Rated,7.9,92,27481,0.3
590,The Rules of the Game,1939,110,Not Rated,7.9,99,30513,
591,C.R.A.Z.Y.,2005,129,Not Rated,7.9,81,33759,
592,Super 30,2019,154,Not Rated,7.9,,34919,2.27
593,Badhaai Ho,2018,124,Not Rated,7.9,,36540,
594,Pad Man,2018,140,PG-13,7.9,,27702,1.66
595,Airlift,2016,130,Not Rated,7.9,,58157,
596,Baby,2015,159,Not Rated,7.9,,59209,
597,The Batman,2022,176,PG-13,7.8,72,729027,369.35
598,John Wick: Chapter 4,2023,169,R,7.8,78,272377,
599,The Big Short,2015,130,R,7.8,81,461463,70.26
600,Everything Everywhere All at Once,2022,139,R,7.8,81,477713,72.86
601,Tombstone,1993,130,R,7.8,50,159395,56.51
602,Pride & Prejudice,2005,129,PG,7.8,82,316411,38.41
603,The Notebook,2004,123,PG-13,7.8,53,597919,81.0
604,Get Out,2017,104,R,7.8,85,655587,176.04
605,Ferris Bueller's Day Off,1986,103,PG-13,7.8,61,375746,70.14
606,Puss in Boots: The Last Wish,2022,102,PG,7.8,73,154065,168.46
607,Drive,2011,100,R,7.8,78,680730,35.06
608,The Gentlemen,2019,113,R,7.8,51,370137,36.47
609,Ghostbusters,1984,105,PG,7.8,71,431490,238.63
610,Little Women,2019,135,PG,7.8,91,228175,108.1
611,Dunkirk,2017,106,PG-13,7.8,94,710931,188.37
612,Call Me by Your Name,2017,132,R,7.8,94,296926,18.1
613,The Breakfast Club,1985,97,R,7.8,66,422845,45.88
614,Rogue One: A Star Wars Story,2016,133,PG-13,7.8,65,666708,532.18
615,The Irishman,2019,209,R,7.8,94,412659,7.0
616,The Social Network,2010,120,PG-13,7.8,95,735179,96.96
617,American Gangster,2007,157,R,7.8,76,441745,130.16
618,RRR,2022,187,Not Rated,7.8,83,156469,14.5
619,All Quiet on the Western Front,2022,148,R,7.8,76,221276,
620,The Hateful Eight,2015,168,R,7.8,68,635844,54.12
621,Apocalypto,2006,139,R,7.8,68,323447,50.87
622,The Worst Person in the World,2021,128,R,7.8,90,85573,
623,Remember the Titans,2000,113,PG,7.8,48,225663,115.65
624,About Time,2013,123,R,7.8,55,371368,15.32
625,The Hobbit: An Unexpected Journey,2012,169,PG-13,7.8,58,852518,303.0
626,Cast Away,2000,143,PG-13,7.8,73,619557,233.63
627,Frankenstein,1931,70,Passed,7.8,91,76647,
628,Hot Fuzz,2007,121,R,7.8,81,523674,23.64
629,Willy Wonka & the Chocolate Factory,1971,100,G,7.8,67,213530,4.0
630,The Girl with the Dragon Tattoo,2011,158,R,7.8,71,480748,102.52
631,Taken,2008,90,PG-13,7.8,51,620557,145.0
632,Predator,1987,107,R,7.8,47,440720,59.74
633,Star Wars: Episode VII - The Force Awakens,2015,138,PG-13,7.8,80,956096,936.66
634,Atonement,2007,123,R,7.8,85,291749,50.93
635,Hidden Figures,2016,127,PG,7.8,74,245562,169.61
636,Nightcrawler,2014,117,R,7.8,76,582027,32.38
637,A Bronx Tale,1993,121,R,7.8,80,153130,17.27
638,Little Miss Sunshine,2006,101,R,7.8,80,503553,59.89
639,Manchester by the Sea,2016,137,R,7.8,96,299665,47.7
640,The Sandlot,1993,101,PG,7.8,55,98848,32.42
641,The Curious Case of Benjamin Button,2008,166,PG-13,7.8,70,677320,127.51
642,The Bourne Identity,2002,119,PG-13,7.8,68,564506,121.66
643,The Remains of the Day,1993,134,PG,7.8,86,80325,22.95
644,Skyfall,2012,143,PG-13,7.8,81,716680,304.36
645,Close,2022,104,PG-13,7.8,81,27827,
646,The Fugitive,1993,130,PG-13,7.8,87,309039,183.88
647,Boyz n the Hood,1991,112,R,7.8,76,148926,57.5
648,The Last Samurai,2003,154,R,7.8,55,458160,111.11
649,The Untouchables,1987,119,R,7.8,79,322877,76.27
650,Captain America: Civil War,2016,147,PG-13,7.8,75,825769,408.08
651,The Hobbit: The Desolation of Smaug,2013,161,PG-13,7.8,66,686836,258.37
652,Captain Fantastic,2016,118,R,7.8,72,228603,5.88
653,Misery,1990,107,R,7.8,75,225138,61.28
654,Mary Poppins,1964,139,G,7.8,88,180591,102.27
655,I Saw the Devil,2010,144,Not Rated,7.8,67,140145,0.13
656,Captain Phillips,2013,134,PG-13,7.8,82,480516,107.1
657,Moonrise Kingdom,2012,94,PG-13,7.8,84,361268,45.51
658,Big Hero 6,2014,102,PG,7.8,74,485354,222.53
659,Back to the Future Part II,1989,108,PG,7.8,57,556911,118.5
660,Captain America: The Winter Soldier,2014,136,PG-13,7.8,70,878784,259.77
661,Night of the Living Dead,1968,96,Not Rated,7.8,89,134744,0.09
662,Midnight Cowboy,1969,113,R,7.8,79,116637,44.79
663,The Day of the Jackal,1973,143,PG,7.8,80,43355,16.06
664,Walk the Line,2005,136,PG-13,7.8,72,260153,119.52
665,The Fall,2006,117,R,7.8,64,115048,2.28
666,The Insider,1999,157,R,7.8,84,176663,28.97
667,Moon,2009,97,R,7.8,67,369838,5.01
668,The Fighter,2010,116,R,7.8,79,381245,93.62
669,Straight Outta Compton,2015,147,R,7.8,72,212296,161.2
670,The King of Comedy,1982,109,PG,7.8,73,112478,2.5
671,Isle of Dogs,2018,101,PG-13,7.8,82,182985,32.02
672,The Man from Earth,2007,87,Not Rated,7.8,,194890,
673,The Holy Mountain,1973,114,16+,7.8,76,46245,0.06
674,Serenity,2005,119,PG-13,7.8,74,302066,25.51
675,The Girl with the Dragon Tattoo,2009,152,R,7.8,76,220728,10.1
676,Changeling,2008,141,R,7.8,63,261726,35.74
677,Hunt for the Wilderpeople,2016,101,PG-13,7.8,81,137073,5.2
678,Glory,1989,122,R,7.8,78,140822,26.83
679,Thirteen Lives,2022,147,PG-13,7.8,66,63521,
680,Awakenings,1990,121,PG-13,7.8,74,152552,52.1
681,Paddington 2,2017,103,PG,7.8,88,87278,40.44
682,Jujutsu Kaisen 0,2021,112,PG-13,7.8,71,28177,34.54
683,Mississippi Burning,1988,128,R,7.8,65,105975,34.6
684,Kiki's Delivery Service,1989,103,G,7.8,85,155777,
685,Dawn of the Dead,1978,127,Unrated,7.8,71,125386,5.1
686,The Best Offer,2013,131,R,7.8,49,124974,0.09
687,October Sky,1999,108,PG,7.8,71,95629,32.48
688,The Conversation,1974,113,PG,7.8,87,117424,4.42
689,Gaslight,1944,114,Passed,7.8,78,32143,
690,The Searchers,1956,119,Passed,7.8,94,93873,
691,How to Train Your Dragon 2,2014,102,PG,7.8,77,353149,177.0
692,Ed Wood,1994,127,R,7.8,70,181113,5.89
693,Stagecoach,1939,96,Passed,7.8,93,52092,
694,Kramer vs. Kramer,1979,105,PG,7.8,77,151163,106.26
695,The Outlaw Josey Wales,1976,135,PG,7.8,69,77704,31.8
696,Manhattan,1979,96,R,7.8,83,144238,45.7
697,My Left Foot,1989,103,R,7.8,97,77834,14.74
698,The Right Stuff,1983,193,PG,7.8,91,63987,21.5
699,My Fair Lady,1964,170,G,7.8,95,99285,72.0
700,Cabaret,1972,124,PG,7.8,80,57778,42.77
701,To Have and Have Not,1944,100,Passed,7.8,90,37076,
702,Days of Heaven,1978,94,PG,7.8,93,60925,
703,All That Jazz,1979,123,R,7.8,72,33962,37.82
704,"Aguirre, the Wrath of God",1972,95,Not Rated,7.8,,60012,
705,Letters from Iwo Jima,2006,141,R,7.8,89,167596,13.76
706,Lilya 4-Ever,2002,109,R,7.8,83,47804,0.18
707,The Chaser,2008,125,Not Rated,7.8,64,70329,
708,The Day the Earth Stood Still,1951,92,G,7.8,83,84424,
709,Once,2007,86,R,7.8,90,119545,9.44
710,Freaks,1932,64,Not Rated,7.8,80,48823,0.63
711,Shadow of a Doubt,1943,108,Passed,7.8,94,68556,
712,The Killing Fields,1984,141,R,7.8,76,57876,34.7
713,Pride,2014,119,R,7.8,79,60315,
714,The World's Fastest Indian,2005,127,PG-13,7.8,68,57046,5.13
715,Whisper of the Heart,1995,111,G,7.8,75,68372,
716,The Bride of Frankenstein,1935,75,Not Rated,7.8,95,51123,4.36
717,Breaking the Waves,1996,159,R,7.8,82,69965,4.04
718,Loving Vincent,2017,94,PG-13,7.8,62,61403,6.74
719,Hannah and Her Sisters,1986,107,PG-13,7.8,90,74229,40.08
720,East of Eden,1955,118,PG,7.8,72,47712,
721,The Umbrellas of Cherbourg,1964,91,Not Rated,7.8,86,29945,0.03
722,Red River,1948,133,Passed,7.8,96,33166,
723,All About My Mother,1999,101,R,7.8,87,100646,8.26
724,Batman: Mask of the Phantasm,1993,76,PG,7.8,65,54663,5.62
725,The White Ribbon,2009,144,R,7.8,84,76167,2.22
726,Cowboy Bebop: The Movie,2001,115,TV-14,7.8,61,51349,1.0
727,Ninja Scroll,1993,94,Not Rated,7.8,,39419,
728,The Man Who Would Be King,1975,129,PG,7.8,91,50959,
729,Land of Mine,2015,100,R,7.8,75,44110,0.44
730,His Girl Friday,1939,92,Passed,7.8,,61569,0.3
731,Crimes and Misdemeanors,1989,104,PG-13,7.8,77,59844,18.25
732,Guess Who's Coming to Dinner,1967,108,Approved,7.8,63,47659,56.7
733,A Prophet,2009,155,R,7.8,90,100828,2.08
734,The Killer,1989,111,R,7.8,82,50046,
735,"I, Daniel Blake",2016,100,R,7.8,78,62901,0.26
736,Bringing Up Baby,1938,102,Passed,7.8,91,64566,
737,The Innocents,1961,100,Not Rated,7.8,88,32072,2.62
738,The Asphalt Jungle,1950,112,Passed,7.8,85,28879,
739,The Chorus,2004,97,PG-13,7.8,56,65383,3.64
740,The Lunchbox,2013,104,PG,7.8,76,59202,4.23
741,L'Avventura,1960,144,Not Rated,7.8,,31749,
742,Tokyo Godfathers,2003,92,PG-13,7.8,74,44017,0.13
743,Millennium Actress,2001,87,PG,7.8,70,30470,0.19
744,Once Upon a Time in Anatolia,2011,157,Not Rated,7.8,82,48551,0.14
745,"Like Father, Like Son",2013,121,Not Rated,7.8,73,26987,0.28
746,The Postman,1994,108,PG,7.8,81,38161,21.85
747,My Life as a Zucchini,2016,70,PG-13,7.8,85,27783,0.29
748,You Can't Take It with You,1938,126,Passed,7.8,,27067,4.66
749,The Discreet Charm of the Bourgeoisie,1972,102,PG,7.8,93,45376,0.2
750,Duck Soup,1933,69,Not Rated,7.8,93,61803,
751,Vivre Sa Vie,1962,85,Not Rated,7.8,,33998,
752,Veer-Zaara,2004,192,Not Rated,7.8,67,55586,2.92
753,A Night at the Opera,1935,96,Passed,7.8,,34021,2.54
754,English Vinglish,2012,134,Not Rated,7.8,,37957,1.67
755,Knockin' on Heaven's Door,1997,87,Not Rated,7.8,,32583,0.0
756,Vicky Donor,2012,126,Not Rated,7.8,,44700,0.17
757,Hindi Medium,2017,132,Not Rated,7.8,,31082,
758,The Whale,2022,117,R,7.7,60,177055,
759,The Goonies,1985,114,PG,7.7,62,289361,61.5
760,The Banshees of Inisherin,2022,114,R,7.7,87,225550,
761,Man on Fire,2004,146,R,7.7,47,377762,77.91
762,Wind River,2017,107,R,7.7,73,267606,33.8
763,Lost in Translation,2003,102,R,7.7,91,473841,44.59
764,Aftersun,2022,102,R,7.7,95,74046,
765,Harry Potter and the Goblet of Fire,2005,157,PG-13,7.7,81,657317,290.01
766,The Hangover,2009,100,R,7.7,73,820387,277.32
767,Ocean's Eleven,2001,116,PG-13,7.7,74,600797,183.42
768,Sicario,2015,121,R,7.7,82,454264,46.89
769,Training Day,2001,122,R,7.7,71,457223,76.63
770,Kingsman: The Secret Service,2014,129,R,7.7,60,696380,128.26
771,Coraline,2009,100,PG,7.7,80,250640,75.29
772,Zodiac,2007,157,R,7.7,79,574436,33.08
773,Mission: Impossible - Fallout,2018,147,PG-13,7.7,86,364021,220.16
774,Harry Potter and the Deathly Hallows: Part 1,2010,146,PG-13,7.7,65,577537,295.98
775,Deliverance,1972,109,R,7.7,80,116231,7.06
776,Halloween,1978,91,R,7.7,87,292765,47.0
777,500 Days of Summer,2009,95,PG-13,7.7,76,539694,32.39
778,Blue Is the Warmest Colour,2013,180,NC-17,7.7,90,159122,2.2
779,When Harry Met Sally...,1989,95,R,7.7,76,232145,92.82
780,Midnight in Paris,2011,94,PG-13,7.7,81,440168,56.82
781,Mr. Nobody,2009,141,R,7.7,63,241335,0.0
782,Silver Linings Playbook,2012,122,R,7.7,81,728589,132.09
783,Black Hawk Down,2001,144,R,7.7,74,412834,108.64
784,Airplane!,1980,88,PG,7.7,78,252543,83.4
785,Home Alone,1990,103,PG,7.7,63,612161,285.76
786,Ex Machina,2014,108,R,7.7,78,568836,25.44
787,Another Round,2020,117,Not Rated,7.7,79,180634,
788,The Game,1997,129,R,7.7,63,415284,48.32
789,And Your Mother Too,2001,106,R,7.7,89,126867,13.62
790,The Last of the Mohicans,1992,112,R,7.7,76,180585,75.51
791,The Name of the Rose,1986,130,R,7.7,54,113239,7.15
792,First Blood,1982,93,R,7.7,61,266546,47.21
793,Blue Velvet,1986,120,R,7.7,76,209255,8.55
794,Tangled,2010,100,PG,7.7,71,477453,200.82
795,Brokeback Mountain,2005,134,R,7.7,87,372243,83.04
796,What's Eating Gilbert Grape,1993,118,PG-13,7.7,73,247534,9.17
797,Birdman or (The Unexpected Virtue of Ignorance),2014,119,R,7.7,87,652106,42.34
798,Primal Fear,1996,129,R,7.7,47,237955,56.12
799,Fried Green Tomatoes,1991,130,PG-13,7.7,64,79324,82.42
800,A Few Good Men,1992,138,R,7.7,62,278309,141.34
801,The Dirty Dozen,1967,150,Approved,7.7,73,77077,45.3
802,Donnie Brasco,1997,127,R,7.7,76,321920,41.91
803,Blazing Saddles,1974,93,R,7.7,73,147081,119.5
804,The Boondock Saints,1999,108,R,7.7,44,245626,0.03
805,The Count of Monte Cristo,2002,131,PG-13,7.7,61,144886,54.23
806,The Lego Movie,2014,100,PG,7.7,83,377594,257.76
807,Sense and Sensibility,1995,136,PG,7.7,84,121844,43.18
808,3:10 to Yuma,2007,122,R,7.7,76,324452,53.61
809,Flipped,2010,90,PG,7.7,45,94666,1.75
810,Glengarry Glen Ross,1992,100,R,7.7,82,112424,10.73
811,Who Framed Roger Rabbit,1988,104,PG,7.7,83,210932,156.45
812,Toy Story 4,2019,100,G,7.7,84,268574,434.04
813,X: First Class,2011,131,PG-13,7.7,65,711164,146.41
814,Gravity,2013,91,PG-13,7.7,96,847641,274.09
815,"O Brother, Where Art Thou?",2000,107,PG-13,7.7,69,323425,45.51
816,Argo,2012,120,R,7.7,86,629513,136.03
817,The Fault in Our Stars,2014,126,PG-13,7.7,69,392148,124.87
818,Star Trek II: The Wrath of Khan,1982,113,PG,7.7,68,126782,78.91
819,The Bourne Supremacy,2004,108,PG-13,7.7,73,477981,176.24
820,As Good as It Gets,1997,139,PG-13,7.7,67,310902,148.48
821,Crash,2004,112,R,7.7,66,444537,54.58
822,Apollo 13,1995,140,PG,7.7,77,307246,173.84
823,Philadelphia,1993,125,PG-13,7.7,66,252013,77.32
824,Wreck-It Ralph,2012,101,PG,7.7,72,444532,189.42
825,A Man Called Ove,2015,116,PG-13,7.7,70,65441,3.48
826,Dirty Harry,1971,102,R,7.7,87,164247,35.9
827,Star Trek Into Darkness,2013,132,PG-13,7.7,72,492316,228.78
828,Empire of the Sun,1987,153,PG,7.7,62,131471,22.24
829,Gattaca,1997,106,PG-13,7.7,64,315584,12.34
830,The French Connection,1971,104,R,7.7,94,130641,15.63
831,Road to Perdition,2002,117,R,7.7,72,278570,104.45
832,Naked,1993,131,Not Rated,7.7,85,42241,1.77
833,Sound of Metal,2019,120,R,7.7,82,141559,
834,The Color Purple,1985,154,PG-13,7.7,78,92088,98.47
835,Belle de Jour,1967,100,R,7.7,,47257,0.03
836,The Theory of Everything,2014,123,PG-13,7.7,71,470156,35.89
837,The Magnificent Seven,1960,128,Approved,7.7,74,99642,4.91
838,The Boy in the Striped Pajamas,2008,94,PG-13,7.7,55,234948,9.03
839,Happiness,1998,134,NC-17,7.7,81,72906,2.81
840,The Trial of the Chicago 7,2020,129,R,7.7,76,187448,
841,Evil Dead II,1987,84,R,7.7,72,176395,5.92
842,Serpico,1973,130,R,7.7,83,130459,29.8
843,Bonnie and Clyde,1967,111,R,7.7,86,117774,
844,Kung Fu Hustle,2004,99,R,7.7,78,146818,17.11
845,The Wind Rises,2013,126,PG-13,7.7,83,92823,5.21
846,This Is England,2006,101,Not Rated,7.7,86,126237,0.33
847,Paprika,2006,90,R,7.7,81,90728,0.88
848,Goldfinger,1964,110,PG,7.7,87,197777,51.08
849,Being John Malkovich,1999,113,R,7.7,90,346951,22.86
850,Clerks,1994,92,R,7.7,70,228883,3.15
851,Adaptation.,2002,115,R,7.7,83,198909,22.25
852,Roma,2018,135,R,7.7,96,165656,
853,Malcolm X,1992,202,PG-13,7.7,73,99342,48.17
854,Detachment,2011,98,Not Rated,7.7,52,94162,0.07
855,Lucky Number Slevin,2006,110,R,7.7,53,321157,22.49
856,Ray,2004,152,PG-13,7.7,73,154043,75.33
857,Badlands,1973,94,PG,7.7,93,76356,
858,The Great Beauty,2013,141,Not Rated,7.7,86,95236,2.85
859,Billy Elliot,2000,110,R,7.7,74,139691,22.0
860,Me and Earl and the Dying Girl,2015,105,PG-13,7.7,74,135888,6.74
861,The Vanishing,1988,107,Not Rated,7.7,,41689,
862,Ordinary People,1980,124,R,7.7,86,55111,54.8
863,Miller's Crossing,1990,115,R,7.7,66,139372,5.08
864,"South Park: Bigger, Longer & Uncut",1999,81,R,7.7,73,211387,52.04
865,The Last Emperor,1987,163,PG-13,7.7,76,108485,43.98
866,Hamlet,1996,242,PG-13,7.7,,39246,4.41
